sign,address,amount
1,0xe87d71430ff3da7a7f22963d22d00cc8d84c5522,60000000000000000000000
1,0xa09f202a014c80b7b718bfbcf5149223b004d44c,500000000000000000000
1,0x97fac89b19e1a25b7b77cbebbd0708740d66adab,10000000000000000000000
1,0x138dd537d56f2f2761a6fc0a2a0ace67d55480fe,12000000000000000000000
1,0x225fecc8cf8a127e54b36ba01c7a9135da6da46e,1000000000000000000000
1,0xba231c0c546d6c227608cea6e62f62bcc4047ebe,10000000000000000000000
1,0x8f98ac169d5f3f9e32b94db4a7e8f0a23db54f8d,9000000000000000000000
1,0xc62909860252ae0e52fc075cf3a008cd2fe55fb9,1010000000000000000000
1,0x8b3b91ed54154529f4f22f9fcb3aea08258b9776,8000000000000000000000
1,0x12f26406f3fa91faade2afcb373ef583daffd78b,500000000000000000000
1,0xefadef57a9620c525dbd9b12fa286b205fece1dc,120000000000000000000000
1,0xa79620db12c2e79487f116745238dedb1143cd9c,21000000000000000000000
1,0x639d6ec2cef4d6f7130b40132b3b6f5b667e5105,219914145568040000000000
1,0x784c56ce418afee72b5697205bfd8f085afb0fe0,50000000000000000000000
1,0xbdbaf6434d40d6355b1e80e40cc4ab9c68d96116,154000000000000000000000
1,0x88bf3c33fad35993f45e9000454256d4f9b73d6f,41500000000000000000000
1,0x7e5684f9a6f43932992d720d52b378fadb376732,3000000000000000000000
1,0x3203732069469d91d394e3baf11488f649f3faa3,91500000000000000000000
1,0x00e32d61132320af76550f29701f45a20422f67c,36000000000000000000000
1,0x735e313af49c0096663f006b1dfb71ee1dcb605b,23900000000000000000000
1,0x2a2eabf7b621ab3f244a99378bdb45c5873e504a,3000000000000000000000
1,0x37493504ee4091edaee99ba5d7628c97a9bd5896,6000000000000000000000
1,0xd38ab3cf9b942792f5cef7def32b5f6d58ac52bf,1197251575000000000000
1,0x9c5df720a4454ec6754b17ba63d79b62e4493b31,480000000000000000000000
1,0x26760096dd9398a235f22909b8d7b2cb244caee8,10000000000000000000000
1,0xa271151e64cac72a290fd29dec25f25f37dfb6c3,2000000000000000000000
1,0x10094b91c2776139bf2adaddd10e5e5b71403dd8,1000000000000000000000
1,0xc30bc2ab2ac917c7ca3813f069f93be5dcd6f166,30000000000000000000000
1,0xd73562ec12502ef5c2bf7b2fee5f0150ee5b0b0b,10800000000000000000000
1,0x84f0c25b509cc22e8223249952ca720fa16a9d4f,2000000000000000000000
